while	1
void	2
string	3
return	4
numerointeiro	5
numerofloat	6
nomevariavel	7
nomedochar	8
nomedavariavel	9
nomedastring	10
main	11
literal	12
integer	13
inicio	15
if	16
î	17
for	18
float	19
fim	20
else	21
double	22
do	23
cout	24
cin	25
char	26
callfuncao	27
>>	28
>=	29
>	30
==	31
=	32
<=	33
<<	34
<	35
++	36
+	37
}	38
{	39
;	40
:	41
/	42
,	43
*	44
)	45
(	46
$	47
!=	48
--	49
-	50
