51 2 1
52 2 3
52 3 3
52 7 2
52 13 3
52 15 3
52 19 3
52 26 3
52 47 3
53 2 13
53 3 13
53 13 13
53 15 19
53 19 13
53 26 13
54 15 31
55 41 4
55 43 5
56 3 8
56 13 6
56 19 7
56 26 9
57 2 10
57 3 10
57 7 11
57 13 10
57 15 10
57 19 10
57 26 10
57 47 10
59 7 12
60 2 15
60 3 18
60 13 14
60 19 17
60 26 16
61 39 26
61 46 27
62 3 24
62 5 20
62 6 21
62 8 23
62 9 22
62 45 25
63 3 28
63 13 28
63 19 28
63 26 28
64 40 29
64 45 30
65 1 52
65 5 37
65 6 37
65 7 37
65 8 37
65 10 37
65 16 49
65 18 64
65 23 67
65 24 69
65 25 68
65 27 39
65 40 38
65 46 37
66 20 32
66 38 33
67 5 75
67 6 75
67 7 75
67 8 75
67 10 75
67 27 76
67 46 75
68 32 40
68 40 40
68 45 40
68 46 41
69 5 44
69 6 46
69 7 48
69 8 47
69 10 45
70 43 43
70 45 42
71 29 56
71 30 55
71 31 53
71 33 58
71 34 57
71 48 54
72 21 50
72 40 51
73 5 59
73 6 60
73 7 63
73 8 62
73 10 61
74 36 65
74 49 66
75 34 72
75 40 70
76 34 73
76 40 73
76 43 74
79 5 80
79 6 80
79 7 80
79 8 80
79 10 80
79 46 80
80 32 79
80 37 77
80 40 79
80 45 79
80 50 78
81 5 84
81 6 85
81 7 86
81 8 88
81 10 87
81 46 89
82 32 81
82 37 81
82 40 81
82 42 83
82 44 82
82 45 81
82 50 81
